tavg,tx,tn,rhavg,rhx,rhn,td,ddavg,ffavg,rr,lwavg,pavg,gSunRadavg,tgavg_5_cm,tgavg_10_cm,tgavg_30_cm,smavg_10_cm,smavg_30_cm,tavg50,tx50,tn50
10.1,10.4,9.9,75.8,76.4,75.1,6.0,184.2,20.4,0.0,0,,,,,,,,,,
10.7,10.8,10.5,74.4,74.8,73.9,6.3,184.6,19.7,0.0,0,,,,,,,,,,
11.0,11.3,10.8,73.6,74.2,72.9,6.5,181.5,22.0,0.0,0,,,,,,,,,,
11.6,11.8,11.3,72.3,73.0,71.6,6.8,185.0,22.8,0.0,0,,,,,,,,,,
12.1,12.3,11.7,70.8,71.7,70.0,7.0,193.2,21.5,0.0,0,,,,,,,,,,
12.7,12.9,12.3,68.7,69.9,67.8,7.1,198.8,18.1,0.0,0,,,,,,,,,,
12.8,13.1,12.6,68.1,68.9,66.9,7.1,205.4,15.3,0.0,0,,,,,,,,,,
8.0,12.9,12.6,67.2,68.5,66.3,6.9,190.5,21.7,0.0,0,,,,,,,,,,
12.8,13.0,12.7,65.7,66.8,64.7,6.6,218.7,17.3,0.0,0,,,,,,,,,,
12.9,13.1,12.7,64.6,65.2,63.7,6.4,207.9,19.3,0.0,0,,,,,,,,,,
12.7,12.9,12.5,64.9,65.6,64.3,6.3,228.2,20.9,0.0,0,,,,,,,,,,
12.4,12.6,12.2,65.4,65.8,65.1,6.1,193.4,18.6,0.0,0,,,,,,,,,,
12.0,12.2,11.9,65.5,65.9,64.8,5.8,204.6,23.5,0.0,0,,,,,,,,,,
11.6,11.9,11.3,66.1,66.7,65.3,5.5,216.2,17.5,0.0,0,,,,,,,,,,
11.0,11.4,10.8,67.3,67.9,66.2,5.2,171.3,20.0,0.0,0,,,,,,,,,,
10.7,10.8,10.5,67.6,68.0,67.2,5.0,209.6,16.5,0.0,0,,,,,,,,,,
10.4,10.6,10.3,68.8,69.6,67.8,4.9,202.0,18.6,0.0,0,,,,,,,,,,
10.2,10.4,10.0,70.0,70.6,69.2,5.0,183.1,21.1,0.0,0,,,,,,,,,,
10.1,10.1,10.0,70.1,70.7,69.8,4.9,205.9,19.7,0.0,0,,,,,,,,,,
10.0,10.1,9.9,70.4,70.8,70.1,4.9,184.7,19.4,0.0,0,,,,,,,,,,
10.1,10.2,9.9,69.9,70.4,69.4,4.9,197.0,19.6,0.0,0,,,,,,,,,,
